indicator,i_iso3
A+,AFG
A+,AGO
A+,BEN
A+,BTN
A+,BFA
A+,MMR
A+,BDI
A+,KHM
A+,CAF
A+,TCD
A+,COM
A+,COD
A+,DJI
A+,ETH
A+,GMB
A+,GIN
A+,GNB
A+,HTI
A+,KIR
A+,LSO
A+,LBR
A+,MDG
A+,MWI
A+,MLI
A+,MRT
A+,MOZ
A+,NPL
A+,NER
A+,RWA
A+,WSM
A+,STP
A+,SEN
A+,SLE
A+,SLB
A+,SOM
A+,SSD
A+,TZA
A+,TLS
A+,TGO
A+,TUV
A+,UGA
A+,VUT
A+,YEM
A+,ZMB
A,AFG
A,COG
A,KAZ
A,PAK
A,TUV
A,ALB
A,COD
A,KEN
A,PNG
A,UGA
A,DZA
A,CIV
A,KIR
A,PRY
A,UKR
A,AGO
A,DJI
A,NA
A,PHL
A,UZB
A,ARG
A,DMA
A,KGZ
A,RWA
A,VUT
A,ARM
A,ECU
A,LBN
A,LCA
A,YEM
A,AZE
A,EGY
A,LSO
A,VCT
A,ZMB
A,BLZ
A,ERI
A,SWZ
A,LBR
A,WSM
A,ZWE
A,BEN
A,ETH
A,MDG
A,STP
A,BTN
A,FJI
A,MWI
A,SEN
A,BOL
A,GAB
A,MDV
A,SRB
A,BIH
A,GMB
A,MLI
A,SLE
A,BWA
A,GEO
A,MRT
A,SLB
A,BRA
A,GHA
A,MUS
A,SOM
A,BFA
A,GRD
A,MDA
A,ZAF
A,MMR
A,GIN
A,MNG
A,SSD
A,BDI
A,GNB
A,MNE
A,LKA
A,KHM
A,GUY
A,MOZ
A,SUR
A,CMR
A,HTI
A,NAM
A,TZA
A,CPV
A,IDN
A,NPL
A,THA
A,CAF
A,IRQ
A,NER
A,TLS
A,TGO
A,TCD
A,JAM
A,NGA
A,TON
A,COM
A,JOR
A,MKD
A,TUN
D,AGO
D,BEN
D,BWA
D,BFA
D,CPV
D,CAR
D,TCD
D,COM
D,COG
D,COD
D,CIV
D,DJI
D,SWZ
D,ETH
D,GAB
D,GMB
D,GHA
D,GIN
D,GNB
D,KEN
D,LSO
D,LBR
D,MDG
D,MWI
D,MLI
D,MUS
D,MOZ
D,NAM
D,NER
D,NGA
D,RWA
D,STP
D,SEN
D,SLE
D,ZAF
D,TZA
D,TGO
D,UGA
D,ZMB
NP,NPL
B,CAN
B,CAN
C,ALB
C,CAN
C,TWN
C,EGY
C,AUT
C,BEL
C,BGR
C,DNK
C,EST
C,FRA
C,DEU
C,GRC
C,IRL
C,ITA
C,LVA
C,LTU
C,LUX
C,MLT
C,NLD
C,PRT
C,ROU
C,ESP
C,SWE
C,GBR
CA,CAN
MX,MEX
E,ATG
E,ABW
E,BHS
E,BRB
E,BLZ
E,VGB
E,CUW
E,DMA
E,GRD
E,GUY
E,HTI
E,JAM
E,MSR
E,KNA
E,LCA
E,VCT
E,TTO
R,BRB
R,BLZ
R,CUW
R,GUY
R,HTI
R,JAM
R,LCA
R,TTO
IL,ISR
J,BOL
J,COL
J,ECU
J,PER
J+,BOL
J+,COL
J+,ECU
J+,PER
JO,JOR
SG,SGP
CL,CHL
MA,MAR
AU,AUS
BH,BHR
P,CRI
P,SLV
P,GTM
P,HND
P,NIC
P,DOM
P+,CRI
P+,SLV
P+,GTM
P+,HND
P+,NIC
P+,DOM
OM,OMN
PE,PER
K,JPN
K,NOR
K,CHE
K,MAC
K,BEL
K,BGR
K,CZE
K,DNK
K,DEU
K,EST
K,IRE
K,GRC
K,ESP
K,FRA
K,HRV
K,ITA
K,CYP
K,LVA
K,LTU
K,LUX
K,HUN
K,MLT
K,NLD
K,AUT
K,POL
K,ROU
K,SVN
K,SVK
K,FIN
K,SWE
K,GBR
KR,KOR
CO,COL
PA,PAN